"Cs2","cutoff.step","Power.min","SR.min","Case","n.stage1","n.stage2","n.total.trial","Ce1","Ce2","Power.min","SR.min"
0.9,1,0.85,0.7,2,8,34,134,0.9246404354496117,0.8363315543790193,0.8707,0.7021
0.9,1,0.85,0.7,3,13,31,150,0.9266732787770908,0.6833509426359642,0.8604,0.7006
0.9,1,0.85,0.7,4,8,34,118,0.92084441351095625,0.8108449120469792,0.8556,0.7002
0.95,1,0.8,0.7,1,8,32,168,0.9269530434513199,0.6941290169245133,0.8525,0.7084
0.95,1,0.8,0.7,2,8,34,134,0.9246404354496117,0.8363315543790193,0.8707,0.7021
0.95,1,0.8,0.7,3,11,30,142,0.9331655800010348,0.648382126280306,0.8355,0.703
0.95,1,0.8,0.7,4,11,33,121,0.9312588261051868,0.8028946488585651,0.863,0.7064
0.8,2,0.8,0.7,1,14,27,178,0.9010205672914008,0.6933086184747874,0.8547,0.7048
0.8,2,0.8,0.7,2,15,28,144,0.9075601906208588,0.8601719136453246,0.8831,0.7016
0.8,2,0.8,0.7,3,19,28,150,0.9188661083495906,0.6257833793608685,0.8496,0.715
0.8,2,0.8,0.7,4,12,33,123,0.909748406856791,0.7864066438742805,0.8415,0.7015
0.95,1,0.85,0.7,1,8,32,168,0.9269530434513199,0.6941290169245133,0.8525,0.7084
0.95,1,0.85,0.7,2,8,34,134,0.9246404354496117,0.8363315543790193,0.8707,0.7021
0.95,1,0.85,0.7,3,13,31,150,0.9266732787770908,0.6833509426359642,0.8604,0.7006
0.95,1,0.85,0.7,4,11,33,121,0.9312588261051868,0.8028946488585651,0.863,0.7064
0.8,2,0.85,0.7,1,14,27,178,0.9010205672914008,0.6933086184747874,0.8547,0.7048
0.8,2,0.85,0.7,2,15,28,144,0.9075601906208588,0.8601719136453246,0.8831,0.7016
0.8,2,0.85,0.7,3,18,29,152,0.9027852246002319,0.6617596391752638,0.862,0.7066
0.8,2,0.85,0.7,4,12,35,129,0.9083062600011926,0.7969675916367752,0.8542,0.7106
0.85,2,0.85,0.7,1,14,27,178,0.9010205672914008,0.6933086184747874,0.8547,0.7048
0.85,2,0.85,0.7,2,13,30,142,0.9191496872547098,0.8422435799048912,0.8731,0.7022
0.85,2,0.85,0.7,3,17,30,154,0.9167234617942921,0.6714658837202818,0.8596,0.7023
0.85,2,0.85,0.7,4,13,33,125,0.9176807910692025,0.8049349283476493,0.8635,0.704
