"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,1,0.8,0.6,"Dunnett",137,88.78,88.78,77.15,77.15,100, ,105,87.15,87.15,75.32,75.32,100, ,130,88.88,88.88,76.53,76.53,100, ,102,85.32,85.32,70.69,70.69,100
0.95,1,0.8,0.6,"BOP2-OC",136.94,88.99,88.99,73.94,73.94,99.93, ,104.95,88.94,88.94,75.03,75.03,99.93, ,129.92,87.52,87.52,76.18,76.18,99.93, ,101.94,87.42,87.42,75.04,75.04,99.93
0.95,1,0.8,0.6,"Dunnett",137,88.78,88.78,77.15,77.15,100, ,105,87.15,87.15,75.32,75.32,100, ,130,88.88,88.88,76.53,76.53,100, ,102,85.32,85.32,70.69,70.69,100
0.95,1,0.8,0.6,"BOP2-OC",135.46,75.18,75.03,57.06,57.06,85.95, ,103.88,75.06,74.87,51.63,51.64,85.74, ,128.13,74.22,74.01,59.8,59.8,85.95, ,100.63,73.88,73.69,52.61,52.61,85.74
0.95,1,0.8,0.6,"Dunnett",137,79.78,79.77,60.14,60.14,99.89, ,105,79.46,79.45,49.26,49.26,99.89, ,130,77.25,77.25,55.44,55.44,99.92, ,102,78.11,78.11,50.45,50.45,99.84
0.95,1,0.8,0.6,"BOP2-OC",136.71,80.58,72.34,66.23,63.28,76.64, ,104.76,80.5,72.5,61.07,59.08,76.8, ,129.65,79.64,71.62,67.92,64.85,76.64, ,101.71,79.69,71.83,61.89,59.91,76.8
0.95,1,0.8,0.6,"Dunnett",137,86.46,83.96,72.91,71.52,95.88, ,105,85.06,82.52,63.02,61.89,95.6, ,130,86.42,83.58,71.2,69.58,95.53, ,102,83.29,80.66,58.01,57.02,95.31
0.95,1,0.8,0.6,"BOP2-OC",136.75,87.09,71.52,71.73,58.56,81.7, ,104.81,87.3,71.82,73.06,59.8,81.96, ,129.7,85.95,70.16,74.17,60.34,81.7, ,101.77,86.53,70.91,73.46,60.06,81.96
0.95,1,0.8,0.6,"Dunnett",137,88.78,48.54,77.15,41.79,55.31, ,105,87.15,48.08,75.32,41.1,55.58, ,130,88.88,48.82,76.53,41.5,55.61, ,102,85.32,47.48,70.69,38.97,56.15
0.95,1,0.8,0.6,"BOP2-OC",136.75,86.98,71.31,64.22,52.12,81.72, ,104.81,87.2,71.78,61.3,50,81.94, ,129.7,86.26,70.56,68.08,55.23,81.72, ,101.76,86.28,70.75,62.78,51.16,81.94
0.95,1,0.8,0.6,"Dunnett",137,88.78,48.54,71.23,38.26,55.31, ,105,87.15,48.08,65.49,35.35,55.58, ,130,88.88,48.82,69.84,37.63,55.61, ,102,85.32,47.48,59.46,32.58,56.15
0.95,1,0.8,0.6,"BOP2-OC",136.93,89.15,69.48,75.09,56.94,79.18, ,104.94,89.1,69.31,75.94,57.69,79.09, ,129.91,88.13,68.41,77.37,58.87,79.18, ,101.93,88.09,68.32,76.2,57.76,79.09
0.95,1,0.8,0.6,"Dunnett",137,92.51,36.84,84.52,32.81,40.63, ,105,91.35,36.99,82.47,32.79,41.33, ,130,92.62,37.48,83.62,32.99,41.3, ,102,89.98,36.91,78.31,31.24,42.03
0.95,1,0.8,0.6,"BOP2-OC",134.86,80.4,65.46,66.83,53.25,75.31, ,103.43,80.79,66.31,68.02,54.94,76.2, ,127.39,80.88,64.66,70.7,55.6,75.31, ,100.08,81.2,65.55,69.72,55.34,76.2
0.95,1,0.8,0.6,"Dunnett",137,92.51,36.84,84.52,32.81,40.63, ,105,91.35,36.99,82.47,32.79,41.33, ,130,92.62,37.48,83.62,32.99,41.3, ,102,89.98,36.91,78.31,31.24,42.03
0.95,2,0.8,0.6,"BOP2-OC",111.22,9.96,9.96,5.14,5.14,58.2, ,89.73,9.86,9.86,5.12,5.12,57.96, ,101.18,9.49,9.49,4.8,4.8,73.18, ,82.37,9.4,9.4,4.7,4.7,72.5
0.95,2,0.8,0.6,"Dunnett",148,10.1,10.1,5.07,5.07,100, ,120,10.11,10.11,5.06,5.06,100, ,128,10.05,10.05,5.06,5.06,100, ,103,10.09,10.09,5.04,5.04,100
0.95,2,0.8,0.6,"BOP2-OC",107,8.59,8.59,4.28,4.29,53.41, ,86.53,8.48,8.48,4.08,4.08,53.51, ,98,8.77,8.77,4.32,4.32,70, ,80.31,8.3,8.3,4.06,4.06,69.75
0.95,2,0.8,0.6,"Dunnett",148,10.1,10.1,5.07,5.07,100, ,120,10.11,10.11,5.06,5.06,100, ,128,10.05,10.05,5.06,5.06,100, ,103,10.09,10.09,5.04,5.04,100
0.95,2,0.8,0.6,"BOP2-OC",106.71,8.48,5.3,4.28,2.68,33.42, ,86.21,8.28,5.19,4.27,2.63,33.54, ,97.12,8.63,5.54,4.31,2.78,44.56, ,79.79,9.12,5.7,4.4,2.78,44.68
0.95,2,0.8,0.6,"Dunnett",148,10.1,5.24,5.07,2.67,56.36, ,120,10.11,5.12,5.06,2.46,55.95, ,128,10.05,5.14,5.06,2.6,56.59, ,103,10.09,4.74,5.04,2.4,46.63
0.95,2,0.8,0.6,"BOP2-OC",67.37,0.8, ,0.8, ,0, ,53.8,0.78, ,0.74, ,0, ,42.43,1.32, ,1.28, ,0, ,38.6,1.1, ,1.05, ,0
0.95,2,0.8,0.6,"Dunnett",148,7.45,0,7.28,0,0, ,120,7.4,0,7.08,0,0, ,128,7.1,0,6.87,0,0, ,103,7.54,0,7.21,0,0
0.95,2,0.8,0.6,"BOP2-OC",147.91,93.28,93.28,81.46,81.46,99.9, ,119.9,94.69,94.69,79.82,79.82,99.86, ,127.99,90.52,90.52,80.16,80.16,99.99, ,102.98,90.71,90.71,78.28,78.28,99.98
0.95,2,0.8,0.6,"Dunnett",148,91.33,91.33,78.81,78.81,100, ,120,89.09,89.09,74.78,74.78,100, ,128,85.13,85.13,70.89,70.89,100, ,103,87.11,87.11,73.72,73.72,100
0.95,2,0.8,0.6,"BOP2-OC",146.92,90.37,90.37,76.45,76.45,98.77, ,119.08,91.81,91.81,74.74,74.74,98.72, ,127.59,88.41,88.41,76.24,76.24,99.59, ,102.78,88.1,88.1,73.56,73.56,99.7
0.95,2,0.8,0.6,"Dunnett",148,91.33,91.33,78.81,78.81,100, ,120,89.09,89.09,74.78,74.78,100, ,128,85.13,85.13,70.89,70.89,100, ,103,87.11,87.11,73.72,73.72,100
0.95,2,0.8,0.6,"BOP2-OC",139.3,77.85,77.67,60.04,60.03,86.18, ,112.99,79.44,79.29,50.19,50.19,86.4, ,123.16,78.5,78.33,62.35,62.35,90.33, ,99.42,78.45,78.27,53.59,53.58,90.46
0.95,2,0.8,0.6,"Dunnett",148,81.88,81.88,63.3,63.3,99.98, ,120,83.25,83.25,51.65,51.65,99.94, ,128,77.77,77.77,57.6,57.6,99.91, ,103,78.6,78.6,50.38,50.38,99.91
